0,sensor1,1.0
0,sensor1,32.75
1,sensor2,2.0
1,sensor2,33.5
1,sensor3,3.0
1,sensor3,34.25
1,sensor1,4.0
1,sensor1,35.0
2,sensor2,5.0
2,sensor2,35.75
2,sensor3,6.0
2,sensor3,36.5
2,sensor1,7.0
2,sensor1,37.25
3,sensor2,8.0
3,sensor2,38.0
3,sensor1,9.0
3,sensor1,38.75
3,sensor3,10.0
3,sensor3,39.5
4,sensor1,11.0
4,sensor1,40.25
4,sensor3,12.0
4,sensor3,41.0
4,sensor2,13.0
4,sensor2,41.75
5,sensor1,14.0
5,sensor1,42.5
5,sensor3,15.0
5,sensor3,43.25
5,sensor2,16.0
5,sensor2,44.0
6,sensor1,17.0
6,sensor1,44.75
6,sensor3,18.0
6,sensor3,45.5
6,sensor2,19.0
6,sensor2,46.25
7,sensor1,20.0
7,sensor1,47.0
7,sensor3,21.0
7,sensor3,47.75
7,sensor2,22.0
7,sensor2,48.5
8,sensor1,23.0
8,sensor1,49.25
8,sensor3,24.0
8,sensor3,50.0
8,sensor2,25.0
8,sensor2,50.75
9,sensor1,27.0
9,sensor1,52.25
9,sensor3,27.0
9,sensor3,52.25
9,sensor2,28.0
9,sensor2,53.0
